/home/admiral/anaconda3/envs/RLearning/lib/python3.9/site-packages/torch/cuda/__init__.py:182: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:109.)
  return torch._C._cuda_getDeviceCount() > 0
Using device: cpu
Episode  134 | Reward:    4.851 | RPS:  0.097 | Eps: 0.7889 | Steps: 50
Episode  135 | Reward:    3.406 | RPS:  0.068 | Eps: 0.7865 | Steps: 50
Episode  136 | Reward:    2.948 | RPS:  0.059 | Eps: 0.7850 | Steps: 50
Episode  137 | Reward:    4.845 | RPS:  0.097 | Eps: 0.7826 | Steps: 50
Episode  138 | Reward:    3.396 | RPS:  0.068 | Eps: 0.7810 | Steps: 50
Episode  139 | Reward:    4.777 | RPS:  0.096 | Eps: 0.7787 | Steps: 50
Episode  140 | Reward:    6.415 | RPS:  0.128 | Eps: 0.7771 | Steps: 50
Episode  141 | Reward:    3.547 | RPS:  0.071 | Eps: 0.7748 | Steps: 50
Episode  142 | Reward:    3.299 | RPS:  0.066 | Eps: 0.7733 | Steps: 50
Episode  143 | Reward:    3.480 | RPS:  0.070 | Eps: 0.7710 | Steps: 50
Episode  144 | Reward:    4.651 | RPS:  0.093 | Eps: 0.7694 | Steps: 50
Episode  145 | Reward:    2.466 | RPS:  0.049 | Eps: 0.7671 | Steps: 50
Episode  146 | Reward:    2.866 | RPS:  0.057 | Eps: 0.7656 | Steps: 50
Episode  147 | Reward:    2.978 | RPS:  0.060 | Eps: 0.7633 | Steps: 50
Episode  148 | Reward:    6.287 | RPS:  0.126 | Eps: 0.7618 | Steps: 50
Episode  149 | Reward:   17.022 | RPS:  0.340 | Eps: 0.7595 | Steps: 50
Episode  150 | Reward:    3.930 | RPS:  0.079 | Eps: 0.7579 | Steps: 50
Episode  151 | Reward:    5.305 | RPS:  0.106 | Eps: 0.7557 | Steps: 50
Episode  152 | Reward:    2.223 | RPS:  0.044 | Eps: 0.7542 | Steps: 50
Episode  153 | Reward:    5.901 | RPS:  0.118 | Eps: 0.7519 | Steps: 50
Episode  154 | Reward:   10.181 | RPS:  0.204 | Eps: 0.7504 | Steps: 50
Episode  155 | Reward:   10.559 | RPS:  0.211 | Eps: 0.7482 | Steps: 50
